:34
C12:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D2:1
F1:1
J1:1
LED1:1
R1:1
R4:1
R5:1
SW1:1
TP1:1
U1:1
U3:1
U4:1
U5:1
